turn,Vrf_kV,time_mean_ns,time_sigma_ns,time_min_ns,time_max_ns,dE_mean_MeV,dE_sigma_MeV,dE_min_MeV,dE_max_MeV,t2,dE2,t_dE,eps_rms,Q1,Q2,Q_amp,theta_Q
641,20.0,0.07249522826326099,10.534720734895618,-21.090943774737582,21.10957323602767,-0.04553028039192359,4.79352781740094,-9.491118849448585,9.515976283097054,110.98559652036066,2.297998194262919e-05,0.0003635753769592715,0.05050064174716086,-0.0019092728322373709,0.0036069654735201707,0.004081117821759904,1.028815607370534
642,20.0,0.07243342550500381,10.534770189616474,-21.091364354651745,21.109551071429394,-0.0455505596758389,4.793505680550881,-9.491525712700923,9.515905805545996,110.9866295491623,2.2979771562960354e-05,0.00036403667753423627,0.05050064228185682,-0.001904647851187146,0.0036115419529856646,0.0040830036388922455,1.0280528524412287
643,20.0,0.0723715951246654,10.53481970355076,-21.091777011373125,21.109520976975574,-0.04557082169796668,4.793483517237299,-9.491928959023953,9.515831700594514,110.98766383410222,2.29795609298159e-05,0.00036449740758326437,0.05050064281940916,-0.001900017271888212,0.0036161127723666575,0.004084891334655892,1.0272905191924122
644,20.0,0.07230973714575437,10.534869276623215,-21.092181744749695,21.10948295267724,-0.04559106645041469,4.7934613274928966,-9.492328588250821,9.516170781644462,110.98869937362585,2.297935004351005e-05,0.00036495756642222787,0.05050064335981438,-0.0018953811012745922,0.0036206779248760417,0.00408678090368857,1.0265286074561453
645,20.0,0.07224785159178342,10.534918908758483,-21.09257855463406,21.109436998549626,-0.04561129392529752,4.7934391113504144,-9.492724600216173,9.516563312793398,110.98973616617661,2.2979138904357388e-05,0.0003654171533678633,0.05050064390306896,-0.0018907393462887776,0.003625237403735288,0.0040886723406316,1.0257671170626712
646,20.0,0.07218593848628625,10.534968599881127,-21.092967440880955,21.109383114610097,-0.0456315041147364,4.793416868842631,-9.49311699475615,9.516952216959876,110.99077421019645,2.2978927512672873e-05,0.0003658761677377079,0.050500644449169435,-0.0018860920138807809,0.0036297912021738,0.004090565640128903,1.025006047840361
647,20.0,0.07212399785280041,10.535018349915607,-21.093348403346823,21.109321300877696,-0.04565169701085955,4.793394600002365,-9.493505771708387,9.517337493982868,110.9918135041248,2.2978715868771806e-05,0.0003663346088501756,0.050500644998112174,-0.001881439111009757,0.0036343393134296888,0.004092460796828452,1.024245399615856
648,20.0,0.07206202971487988,10.535068158786306,-21.093721441893138,21.109251557377007,-0.0456718726058018,4.793372304862469,-9.493890930912018,9.517719143702854,110.9928540463997,2.2978503972969865e-05,0.00036679247602456624,0.050500645549893634,-0.0018767806446424124,0.003638881730749855,0.004094357805381627,1.0234851722139024
649,20.0,0.07200003409608587,10.535118026417518,-21.094086556383132,21.10917388413344,-0.04569203089170488,4.793349983455837,-9.494272472207665,9.518097165961805,110.99389583545714,2.2978291825583076e-05,0.00036724976858099273,0.0505006461045102,-0.001872116621753749,0.003643418447389259,0.0040962566604429256,1.0227253654574837
650,20.0,0.07193801101998154,10.53516795273345,-21.09444374668297,21.109088281175787,-0.045712171860717334,4.793327635815396,-9.494650395437452,9.518471560603198,110.99493886973148,2.2978079426927836e-05,0.00036770648584047194,0.05050064666195831,-0.0018674470493264441,0.0036479494566118314,0.004098157356670507,1.0219659791677138
651,20.0,0.07187596051016146,10.535217937658226,-21.09479301266137,21.108994748536247,-0.045732295504994414,4.793305261974115,-9.495024700444997,9.51884232747201,110.9959831476549,2.2977866777320895e-05,0.00036816262712479155,0.05050064722223427,-0.001862771934352011,0.0036524747516891495,0.004100059888725559,1.0212070131640485
652,20.0,0.07181388259021917,10.535267981115876,-21.095134354190833,21.108893286249554,-0.045752401816698256,4.7932828619649985,-9.495395387075412,9.519209466414715,110.99702866765806,2.2977653877079368e-05,0.0003686181917566354,0.05050064778533449,-0.0018580912838292922,0.0036569943259016826,0.004101964251272735,1.0204484672640615
653,20.0,0.07175177728375645,10.535318083030338,-21.095467771146446,21.10878389435294,-0.04577249078799781,4.7932604358210895,-9.495762455175306,9.519572977279292,110.99807542816946,2.2977440726520722e-05,0.00036907317905959103,0.05050064835125524,-0.0018534051047659822,0.0036615081725388677,0.004103870438980929,1.0196903412836196
