turn,Vrf_kV,K0_GeV,phi_s_deg,time_mean_ns,time_sigma_ns,time_min_ns,time_max_ns,dE_mean_MeV,dE_sigma_MeV,dE_min_MeV,dE_max_MeV,t2,dE2,t_dE,eps_rms,Q1,Q2,Q_amp,theta_Q,gamma,Zon_ohm,unstable
1211,34.252910899999996,24.0,0.0,0.017839920797351364,13.825437869725455,-27.6018718308884,27.52096880877187,-0.09175656952544413,7.787907107278184,-15.595905016722924,15.501117701253671,191.14305055241277,6.065991637964513e-05,-0.0025238469743416423,0.10764920649735299,-0.0040241780800668635,-0.011746517205002268,0.01241670953463537,-0.9504249761951191,26.57893624393974,152.0404362086787,False
1212,34.2599376,24.0,0.0,0.017717131869872917,13.8251965987399,-27.602229279283847,27.518616229263216,-0.09176511272338998,7.788058420463267,-15.596175195108435,15.502408533404804,191.136374890571,6.0662274796461935e-05,-0.002532792164492576,0.10764920929139642,-0.004042680503418386,-0.011788150010429136,0.012462092373317555,-0.9505858970864535,26.57893624393974,152.0436909323,False
1213,34.2669701,24.0,0.0,0.01759433147992746,13.824954452861679,-27.60256937914096,27.51624635149099,-0.09177359883740371,7.788210305238381,-15.596435377678661,15.503689644317822,191.12967518420018,6.066464215206489e-05,-0.0025417496173719685,0.10764921206665885,-0.004061251418874223,-0.011829839889185843,0.012507552713903724,-0.9507474990253845,26.57893624393974,152.04695826039355,False
1214,34.2740084,24.0,0.0,0.01747151970433491,13.824711430852666,-27.602892126691273,27.513859173322828,-0.09178202783990608,7.788362762562427,-15.59668556016027,15.504961029174503,191.12295140034917,6.066701846190344e-05,-0.0025507193237887743,0.10764921482309894,-0.004079890933621021,-0.011871586798495317,0.01255309058138478,-0.9509097762271408,26.57893624393974,152.05023821578385,False
1215,34.2810525,24.0,0.0,0.017348696619955466,13.824467531475394,-27.603197518176074,27.51145469263392,-0.09179039970332402,7.788515793394291,-15.596925738282016,15.506222683158061,191.11620350609175,6.0669403741430016e-05,-0.002559701274507473,0.1076492175606756,-0.004098599154825349,-0.01191339069537349,0.012598706000718754,-0.9510727229668814,26.57893624393974,152.05353082129625,False
1216,34.28810240000001,24.0,0.0,0.017225862303670295,13.824222753493029,-27.603485549842162,27.50903290730966,-0.09179871440009049,7.788669398692851,-15.597155907774757,15.507474601453172,191.1094314685265,6.0671798006099964e-05,-0.00256869546024788,0.1076492202793478,-0.004117376189633772,-0.011955251536628436,0.012644398996829374,-0.951236333578977,26.57893624393974,152.05683609975748,False
1217,34.2951581,24.0,0.0,0.017103016832410417,13.82397709566939,-27.60375621794398,27.506593815240507,-0.09180697190264472,7.788823579416959,-15.597376064371456,15.508716779245967,191.10263525477666,6.067420127137153e-05,-0.002577701871685193,0.10764922297907464,-0.004136222145172709,-0.011997169278860537,0.01269016959460559,-0.951400602456281,26.57893624393974,152.06015407399485,False
1218,34.302219599999994,24.0,0.0,0.016980160283133556,13.823730556768961,-27.604009518745244,27.504137414327516,-0.09181517218343213,7.788978336525448,-15.597586203807188,15.509949211724052,191.09581483199116,6.0676613552705807e-05,-0.0025867204994499565,0.1076492256598155,-0.004155137128547156,-0.012039143878462374,0.012736017818900427,-0.9515655240493727,26.57893624393974,152.06348476683632,False
1219,34.3092869,24.0,0.0,0.016857292732835902,13.823483135556875,-27.604245448514774,27.50166370247851,-0.0918233152149044,7.7891336709771295,-15.59778632181916,15.51117189407651,191.08897016734363,6.0679034865566705e-05,-0.0025957513341280164,0.1076492283215298,-0.004174121246841651,-0.01208117529161849,0.0127819436945305,-0.9517310928658952,26.57893624393974,152.06682820111104,False
1220,34.31636,24.0,0.0,0.0167344142585599,13.823234830798937,-27.604464003529046,27.499172677608954,-0.09183140096951953,7.789289583730784,-15.597976414146707,15.512384821493914,191.08210122803348,6.068146522542093e-05,-0.002604794366260642,0.10764923096417722,-0.004193174607118892,-0.012123263474305947,0.012827947246275508,-0.9518973034698074,26.57893624393974,152.07018439964838,False
